id,title,company,location,salary,type,source,link,snippet,updated,collected_at
3003543713064488281,Data Quality Analyst,Reface,Київ,,,dou.ua,https://ua.jooble.org/jdp/3003543713064488281,"15 травня 2026 Data Quality Analyst Київ, віддалено Шукаємо в Reface людину, яка буде робити наш data-фундамент міцнішим і надійнішим Reface — українська продуктова компанія, що створює мобільні АІ-застосунки. За 5 років наші продукти завантажили понад...",2026-05-15,2026-05-18
-2999497148002942977,Software Engineer / Team Lead,DroneOps LTD,Київ,2 500 - 3 100 $,,dou.ua,https://ua.jooble.org/jdp/-2999497148002942977,30 квітня 2026 deftech бронювання Software Engineer / Team Lead Київ About the role We’re looking for a software engineer with leadership experience to lead a small team building a product management ecosystem in the defense sector. This is not a purely...,2026-04-30,2026-05-18
-1503486023574638428,Automation QA Engineer (Playwright),Buntar Aerospace,Київ,,,dou.ua,https://ua.jooble.org/jdp/-1503486023574638428,"15 травня 2026 deftech Automation QA Engineer (Playwright) Київ, віддалено Buntar Aerospace — українська mil-tech компанія, що розробляє технологічні рішення для оборонного сектору. Ми шукаємо Automation QA Engineer , який відповідатиме за автоматизацію...",2026-05-15,2026-05-18
8175660081516910754,Data Analyst (OSINT),Everstar,Київ,,,dou.ua,https://ua.jooble.org/jdp/8175660081516910754,14 травня 2026 deftech бронювання Data Analyst (OSINT) Київ Ми — Everstar . Ми допомагаємо знайти себе в мілтек і працювати на перемогу разом з найбільшими і найкращими оборонними компаніями України. Зараз ми у пошуках Data Analyst (OSINT) для нашого...,2026-05-14,2026-05-18
-2034620460082922036,Fraud Data Analyst,Integrity Vision,Київ,,,dou.ua,https://ua.jooble.org/jdp/-2034620460082922036,"11 травня 2026 Fraud Data Analyst Київ, віддалено Шукаємо того, хто бачить у даних не просто цифри, а інструмент боротьби з фінансовим шахрайством. Ми розширюємо команду і шукаємо Data Analyst , який разом з нами впроваджуватиме сучасні антифрод-рішення...",2026-05-11,2026-05-18
1177524424195490090,Backend Engineer Core Team (Go + PHP),BetterMe,Київ,,,dou.ua,https://ua.jooble.org/jdp/1177524424195490090,"16 квітня 2026 Backend Engineer Core Team (Go + PHP) Київ, за кордоном, віддалено Про нас: BetterMe — глобальна wellness-екосистема, що створює продукти для фізичного, ментального та емоційного балансу. Ми допомагаємо мільйонам людей ставати кращими — ...",2026-04-16,2026-05-18
-5780669578648255315,Java Developer,NCube Ltd.,Київ,,,dou.ua,https://ua.jooble.org/jdp/-5780669578648255315,"29 квітня 2026 Java Developer Київ, віддалено We are looking for a proficient Java Developer who is passionate about building high-quality backend solutions and collaborating with experienced engineers to deliver scalable, reliable, and efficient software...",2026-04-29,2026-05-18
-3489794718335190219,Middle PHP Developer,EVOPLAY,Київ,,,dou.ua,https://ua.jooble.org/jdp/-3489794718335190219,"29 квітня 2026 Middle PHP Developer Київ, віддалено Evoplay — одна з найбільших продуктових українських IT-компаній. Ми працюємо на міжнародному ринку онлайн-ігор і створюємо комплексні B2B-рішення, які витримують високі навантаження й допомагають партнерам...",2026-04-29,2026-05-18
-5501463391466515007,Senior General QA (Mobile),Raiffeisen Bank Ukraine,Київ,,Повний робочий день,workable.com,https://ua.jooble.org/jdp/-5501463391466515007,"...developing the banking system of our country. At Raiffeisen, more than 5,500 employees work together, including one of the largest product IT teams, consisting of over 800 professionals. Every day, we collaborate to ensure that more than 2.7 million of our clients receive...",2026-04-23,2026-05-18
-2331993295133290178,Talent Sourcer,Youwe,Київ,,,dou.ua,https://ua.jooble.org/jdp/-2331993295133290178,"20 квітня 2026 Talent Sourcer Київ, віддалено At Youwe, we help international brands master the complex maze of digital growth. We are looking for a Talent Sourcer to act as the primary engine of our growth, identifying the high-caliber professionals — from...",2026-04-20,2026-05-18
